data_sozdaniya_zakaza,status_perevozki,gruzootpravitel,gruzopoluchatel,tip_gruza,gorod_zagruzki,gorod_razgruzki,rasstoyanie_km,marka_model_avto,tip_kuzova,gruzopodemnost_tonn,data_viezda,planovaya_data_pribytiya,fakticheskaya_data_pribytiya,identification_otklonenie_ot_plana_dney,srok_dostavki,tonnazh_gruza_tonn,obem_gruza_m3,kolichestvo_pozitsiy,tarif_summa,sebestoimost_perevozki,pribyl
2025-07-09,В пути,интернет-магазин,коммерческая компания,ТНП,Петрозаводск,Калининград,1210.95,КАМАЗ 5490,Тент,20.0,2025-07-20,2025-07-28,,Нарушенный,8,10.94,33.32,40,152896,134908,17988
2025-07-22,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Ростов-на-Дону,Пермь,1591.61,Scania R-series,Фургон,20.0,2025-07-09,2025-07-15,2025-08-18,Нарушенный,6,14.59,41.09,30,192869,160730,32139
2025-08-10,В пути,коммерческая компания,коммерческая компания,Продукты питания,Москва,Казань,3420.98,MAN TGS,Фургон,5.0,2025-07-17,2025-07-24,,Нарушенный,7,4.25,10.91,13,442476,394961,47515
2025-08-03,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Воронеж,Калининград,1387.19,MAN TGS,Цистерна,25.0,2025-08-18,2025-08-26,,Нарушенный,8,12.6,33.91,11,196140,128551,67589
2025-07-17,Запланирована,коммерческая компания,коммерческая компания,Продукты питания,Сочи,Петрозаводск,4045.79,Volvo FH,Фургон,25.0,,2025-07-30,,Незначительный,0,19.45,51.57,53,575477,462335,113142
2025-08-11,Доставлена,интернет-магазин,коммерческая компания,ТНП,Волгоград,Воронеж,2500.92,MAN TGS,Рефрижератор,20.0,2025-07-20,2025-07-21,2025-08-09,Незначительный,1,16.53,44.05,77,350191,285792,64399
2025-08-16,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Калининград,Мурманск,3473.77,Scania R-series,Тент,20.0,2025-07-04,2025-07-10,2025-07-26,Нарушенный,6,13.1,43.28,69,362665,291555,71111
2025-07-29,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Челябинск,Владивосток,4488.21,Volvo FH,Цистерна,20.0,2025-07-11,2025-07-18,2025-08-28,Нарушенный,7,15.51,44.0,37,551789,395884,155905
2025-07-26,Запланирована,коммерческая компания,коммерческая компания,Оборудование,Новосибирск,Екатеринбург,3225.89,КАМАЗ 5490,Фургон,5.0,,2025-08-13,,Незначительный,0,3.42,10.11,19,391283,246656,144627
2025-08-01,Запланирована,некоммерческая организация,коммерческая компания,Стройматериалы,Челябинск,Новосибирск,1010.15,MAN TGS,Рефрижератор,20.0,,2025-08-18,,Незначительный,0,12.78,35.74,91,131376,93538,37838
2025-07-18,Отменена,коммерческая компания,коммерческая компания,Продукты питания,Челябинск,Новосибирск,1083.73,ГАЗель Next,Цистерна,20.0,,,,Незначительный,0,16.63,52.51,38,140237,117834,22403
2025-08-08,Отменена,индивидуальный предприниматель,коммерческая компания,Продукты питания,Мурманск,Челябинск,4235.67,MAN TGS,Фургон,10.0,,,,Незначительный,0,5.43,13.83,22,488441,431588,56853
2025-07-23,Запланирована,индивидуальный предприниматель,коммерческая компания,Опасный груз,Ростов-на-Дону,Казань,3206.34,Volvo FH,Цистерна,25.0,,2025-08-14,,Незначительный,0,19.82,68.37,73,371869,280876,90993
2025-07-27,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Красноярск,Санкт-Петербург,1643.35,ГАЗель Next,Рефрижератор,5.0,2025-07-03,2025-07-06,2025-08-20,Тревожный,3,4.39,15.11,17,191047,141951,49096
2025-08-23,Доставлена,коммерческая компания,некоммерческая организация,Стройматериалы,Владивосток,Красноярск,1223.5,ГАЗель Next,Фургон,10.0,2025-08-05,2025-08-14,2025-08-18,Нарушенный,9,5.87,19.9,79,146850,103749,43101
2025-08-19,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Ростов-на-Дону,Калининград,2879.72,КАМАЗ 5490,Бортовой,5.0,2025-07-05,2025-07-25,2025-07-25,Незначительный,2,4.82,14.82,40,299565,236575,62991
2025-08-19,Запланирована,коммерческая компания,коммерческая компания,Стройматериалы,Омск,Екатеринбург,992.19,ГАЗель Next,Бортовой,25.0,,2025-08-13,,Незначительный,0,22.9,75.57,3,126077,92423,33654
2025-07-22,Доставлена,интернет-магазин,коммерческая компания,ТНП,Челябинск,Москва,4744.25,Volvo FH,Бортовой,10.0,2025-08-09,2025-08-16,2025-08-19,Нарушенный,7,8.37,23.35,17,528143,330422,197721
2025-08-15,Доставлена,интернет-магазин,коммерческая компания,ТНП,Нижний Новгород,Калининград,2637.45,MAN TGS,Цистерна,5.0,2025-08-01,2025-08-12,2025-08-17,Незначительный,1,4.28,12.17,85,372171,262930,109241
2025-08-11,Доставлена,коммерческая компания,коммерческая компания,Сырье,Ростов-на-Дону,Красноярск,3608.97,ГАЗель Next,Цистерна,10.0,2025-07-01,2025-08-02,2025-08-15,Тревожный,3,7.26,22.14,100,426668,325642,101026
2025-07-06,В пути,коммерческая компания,некоммерческая организация,Продукты питания,Ростов-на-Дону,Екатеринбург,3392.8,КАМАЗ 5490,Тент,5.0,2025-07-07,2025-08-09,,Тревожный,3,4.03,14.0,75,354332,250313,104019
2025-07-22,Доставлена,некоммерческая организация,коммерческая компания,Продукты питания,Петрозаводск,Волгоград,3932.42,MAN TGS,Фургон,20.0,2025-08-08,2025-08-10,2025-08-16,Незначительный,2,15.63,49.47,80,399535,331737,67798
2025-07-05,В пути,индивидуальный предприниматель,индивидуальный предприниматель,Стройматериалы,Хабаровск,Екатеринбург,589.52,Scania R-series,Рефрижератор,5.0,2025-08-07,2025-08-19,,Незначительный,1,2.96,8.39,4,66585,46550,20034
2025-07-10,В пути,индивидуальный предприниматель,коммерческая компания,Стройматериалы,Новосибирск,Самара,1977.47,Volvo FH,Фургон,5.0,2025-07-30,2025-07-30,,Незначительный,0,3.0,9.09,76,258028,218132,39895
2025-07-22,Запланирована,коммерческая компания,коммерческая компания,Стройматериалы,Челябинск,Владивосток,4498.02,Volvo FH,Фургон,25.0,,2025-08-09,,Незначительный,0,16.31,56.88,76,544512,381780,162733
2025-08-28,Отменена,коммерческая компания,коммерческая компания,Сырье,Уфа,Хабаровск,4089.23,Volvo FH,Тент,20.0,,,,Незначительный,0,13.29,43.25,20,477987,411468,66519
2025-08-23,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Петрозаводск,Калининград,3725.07,КАМАЗ 5490,Цистерна,10.0,2025-07-08,2025-07-24,2025-08-07,Незначительный,1,9.07,23.86,20,377427,245299,132129
2025-08-21,Проблемная,коммерческая компания,коммерческая компания,Опасный груз,Пермь,Екатеринбург,4713.12,Scania R-series,Цистерна,25.0,2025-07-10,2025-08-10,2025-08-12,Тревожный,3,17.13,55.15,34,551940,334327,217613
2025-07-05,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Санкт-Петербург,Уфа,1158.75,Volvo FH,Тент,5.0,2025-07-18,2025-07-28,2025-08-17,Незначительный,1,4.88,16.14,66,168328,113490,54838
2025-07-04,В пути,коммерческая компания,коммерческая компания,Сырье,Казань,Новосибирск,4439.83,КАМАЗ 5490,Бортовой,10.0,2025-08-16,2025-08-30,,Незначительный,1,8.81,28.08,36,566579,375695,190884
2025-07-09,Доставлена,коммерческая компания,индивидуальный предприниматель,Сырье,Калининград,Петрозаводск,3037.79,ГАЗель Next,Рефрижератор,5.0,2025-07-26,2025-07-29,2025-08-11,Тревожный,3,2.76,9.25,30,395826,301197,94629
2025-08-04,Запланирована,интернет-магазин,некоммерческая организация,ТНП,Владивосток,Омск,3585.52,MAN TGS,Тент,25.0,,2025-08-05,,Незначительный,0,20.17,54.53,17,362964,268899,94065
2025-07-24,Проблемная,коммерческая компания,коммерческая компания,Опасный груз,Москва,Санкт-Петербург,4658.72,Volvo FH,Бортовой,10.0,2025-07-02,2025-07-10,2025-07-31,Нарушенный,8,10.0,28.27,24,665661,503474,162187
2025-08-06,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Владивосток,Волгоград,729.16,КАМАЗ 5490,Рефрижератор,20.0,2025-07-09,2025-07-10,2025-08-28,Незначительный,1,19.2,66.42,97,82267,50554,31713
2025-08-27,В пути,коммерческая компания,коммерческая компания,Сырье,Новосибирск,Нижний Новгород,682.54,КАМАЗ 5490,Тент,20.0,2025-08-02,2025-08-20,,Незначительный,1,10.93,27.46,84,78593,57786,20807
2025-08-01,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Воронеж,Ростов-на-Дону,2233.87,Scania R-series,Рефрижератор,10.0,2025-07-25,2025-08-12,2025-08-18,Незначительный,1,8.32,28.42,35,304042,244602,59440
2025-07-09,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Хабаровск,Воронеж,978.28,КАМАЗ 5490,Тент,5.0,2025-07-05,2025-08-13,2025-08-23,Тревожный,3,3.87,12.8,92,126005,96664,29341
2025-07-01,В пути,некоммерческая организация,коммерческая компания,Продукты питания,Казань,Нижний Новгород,1236.09,ГАЗель Next,Цистерна,10.0,2025-07-23,2025-08-08,,Незначительный,1,8.44,25.17,45,124126,94587,29539
2025-08-10,Проблемная,коммерческая компания,коммерческая компания,Продукты питания,Санкт-Петербург,Пермь,3734.03,MAN TGS,Тент,5.0,2025-07-16,2025-08-24,2025-08-30,Тревожный,3,3.01,10.23,27,499975,448606,51369
2025-07-20,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Калининград,Новосибирск,1494.16,ГАЗель Next,Бортовой,10.0,2025-07-26,2025-08-19,2025-08-23,Незначительный,2,8.85,24.17,10,171860,145051,26809
2025-08-15,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Калининград,Челябинск,4506.53,Scania R-series,Рефрижератор,5.0,2025-07-10,2025-08-01,2025-08-15,Незначительный,2,2.79,8.77,36,573097,463230,109867
2025-07-27,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Петрозаводск,Волгоград,867.86,Scania R-series,Фургон,20.0,2025-07-09,2025-08-13,2025-08-15,Тревожный,3,17.25,44.66,54,88329,73277,15052
2025-07-30,Проблемная,коммерческая компания,коммерческая компания,Оборудование,Ростов-на-Дону,Казань,1786.57,MAN TGS,Фургон,25.0,2025-08-04,2025-08-06,2025-08-27,Незначительный,2,19.11,64.06,50,251190,213082,38109
2025-07-21,В пути,коммерческая компания,коммерческая компания,Оборудование,Воронеж,Новосибирск,3033.98,Scania R-series,Бортовой,5.0,2025-07-12,2025-08-12,,Тревожный,3,4.39,13.05,72,405602,270819,134783
2025-07-15,Запланирована,интернет-магазин,коммерческая компания,ТНП,Самара,Казань,2015.65,MAN TGS,Цистерна,25.0,,2025-08-22,,Незначительный,0,16.27,43.29,96,233087,149841,83246
2025-07-09,В пути,коммерческая компания,коммерческая компания,Продукты питания,Владивосток,Казань,2941.78,КАМАЗ 5490,Фургон,25.0,2025-07-21,2025-08-08,,Незначительный,1,21.44,68.77,40,421726,253957,167769
2025-08-02,Доставлена,коммерческая компания,коммерческая компания,Сырье,Волгоград,Самара,2544.9,Volvo FH,Фургон,10.0,2025-07-01,2025-08-06,2025-08-21,Тревожный,3,9.86,26.86,74,303153,190831,112322
2025-07-22,Отменена,интернет-магазин,коммерческая компания,ТНП,Москва,Уфа,1767.54,ГАЗель Next,Фургон,20.0,,,,Незначительный,0,14.48,44.73,90,229869,201355,28514
2025-07-15,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Екатеринбург,Уфа,3892.02,Scania R-series,Тент,25.0,2025-07-03,2025-07-20,2025-08-13,Незначительный,1,14.1,43.17,23,575994,440946,135049
2025-07-09,Отменена,коммерческая компания,коммерческая компания,Стройматериалы,Красноярск,Петрозаводск,4717.21,Volvo FH,Бортовой,20.0,,,,Незначительный,0,12.68,32.17,98,546862,349587,197275
2025-08-19,Проблемная,коммерческая компания,коммерческая компания,Оборудование,Хабаровск,Уфа,2700.72,ГАЗель Next,Тент,5.0,2025-07-02,2025-08-01,2025-08-19,Тревожный,3,3.51,11.09,32,325346,258078,67268
2025-08-21,Отменена,коммерческая компания,коммерческая компания,Сырье,Владивосток,Хабаровск,1499.57,Volvo FH,Тент,25.0,,,,Незначительный,0,14.64,42.84,38,158839,130956,27883
2025-07-19,Запланирована,коммерческая компания,коммерческая компания,Продукты питания,Мурманск,Калининград,1098.31,MAN TGS,Рефрижератор,5.0,,2025-07-10,,Незначительный,0,4.96,17.0,42,122074,93127,28948
2025-08-30,Доставлена,интернет-магазин,коммерческая компания,ТНП,Москва,Омск,2642.39,MAN TGS,Тент,10.0,2025-07-09,2025-07-23,2025-07-31,Незначительный,1,8.52,26.79,28,370665,322770,47896
2025-08-16,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Владивосток,Челябинск,2400.18,Volvo FH,Тент,10.0,2025-07-02,2025-07-17,2025-08-30,Незначительный,1,8.42,26.56,93,318668,238706,79962
2025-08-18,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Волгоград,Екатеринбург,1493.79,КАМАЗ 5490,Цистерна,5.0,2025-07-21,2025-08-13,,Незначительный,2,2.82,8.61,82,177417,132560,44857
2025-08-08,Доставлена,коммерческая компания,коммерческая компания,Сырье,Челябинск,Казань,3469.01,КАМАЗ 5490,Цистерна,20.0,2025-07-16,2025-07-19,2025-08-17,Тревожный,3,14.27,40.2,86,458270,373373,84897
2025-07-01,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Мурманск,Новосибирск,705.29,MAN TGS,Бортовой,10.0,2025-07-02,2025-07-17,2025-08-12,Незначительный,1,5.96,15.67,70,80634,65939,14695
2025-07-12,Отменена,коммерческая компания,коммерческая компания,Оборудование,Калининград,Челябинск,4368.17,ГАЗель Next,Бортовой,5.0,,,,Незначительный,0,4.83,16.32,25,488621,382662,105959
2025-08-25,Доставлена,интернет-магазин,некоммерческая организация,ТНП,Самара,Омск,3515.01,Scania R-series,Цистерна,25.0,2025-07-15,2025-07-16,2025-07-18,Незначительный,1,17.83,52.46,18,411615,267006,144609
2025-07-27,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Петрозаводск,Самара,4439.82,Scania R-series,Бортовой,20.0,2025-07-02,2025-07-02,,Незначительный,0,12.16,40.05,59,455577,340758,114819
2025-08-19,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Челябинск,Новосибирск,3598.92,MAN TGS,Бортовой,5.0,2025-07-12,2025-08-20,,Тревожный,3,3.75,12.03,12,393029,244845,148184
2025-07-19,Отменена,индивидуальный предприниматель,коммерческая компания,Опасный груз,Петрозаводск,Ростов-на-Дону,2578.1,Volvo FH,Бортовой,10.0,,,,Незначительный,0,7.14,23.12,78,274393,228668,45725
2025-08-11,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Волгоград,Сочи,3686.85,Volvo FH,Фургон,5.0,2025-07-07,2025-07-15,2025-07-30,Нарушенный,8,3.09,9.29,10,494096,309885,184211
2025-08-03,Запланирована,коммерческая компания,коммерческая компания,Опасный груз,Нижний Новгород,Сочи,4128.51,MAN TGS,Цистерна,25.0,,2025-08-27,,Незначительный,0,21.78,63.36,31,459564,399639,59925
2025-07-05,Запланирована,интернет-магазин,коммерческая компания,ТНП,Санкт-Петербург,Самара,811.8,MAN TGS,Тент,25.0,,2025-08-27,,Незначительный,0,18.18,56.14,86,87627,61635,25992
2025-08-11,Отменена,интернет-магазин,коммерческая компания,ТНП,Нижний Новгород,Воронеж,1222.75,КАМАЗ 5490,Фургон,5.0,,,,Незначительный,0,3.98,11.62,27,175515,134933,40582
2025-08-25,Запланирована,коммерческая компания,коммерческая компания,Опасный груз,Санкт-Петербург,Хабаровск,776.99,ГАЗель Next,Рефрижератор,25.0,,2025-07-18,,Незначительный,0,22.82,62.39,77,80418,63618,16800
2025-07-02,Запланирована,коммерческая компания,некоммерческая организация,Стройматериалы,Санкт-Петербург,Волгоград,2439.76,Volvo FH,Тент,25.0,,2025-08-18,,Незначительный,0,17.62,50.31,51,270458,242262,28196
2025-07-25,Доставлена,коммерческая компания,коммерческая компания,Сырье,Мурманск,Владивосток,1873.41,Scania R-series,Бортовой,10.0,2025-07-25,2025-08-22,2025-08-25,Незначительный,2,8.86,26.93,80,226271,180550,45721
2025-08-02,Доставлена,индивидуальный предприниматель,коммерческая компания,Продукты питания,Волгоград,Казань,1896.17,MAN TGS,Бортовой,10.0,2025-07-03,2025-07-07,2025-07-10,Тревожный,4,7.51,19.37,72,210662,184890,25772
2025-08-06,Отменена,коммерческая компания,коммерческая компания,Продукты питания,Воронеж,Мурманск,4662.53,MAN TGS,Рефрижератор,25.0,,,,Незначительный,0,18.28,54.04,92,691947,505531,186415
2025-07-29,Доставлена,интернет-магазин,некоммерческая организация,ТНП,Пермь,Омск,2074.59,ГАЗель Next,Рефрижератор,10.0,2025-08-06,2025-08-17,2025-08-22,Незначительный,1,9.72,32.53,23,299192,254772,44419
2025-07-17,Доставлена,коммерческая компания,некоммерческая организация,Стройматериалы,Хабаровск,Воронеж,1051.97,Scania R-series,Цистерна,25.0,2025-07-03,2025-07-30,2025-08-11,Незначительный,2,21.38,59.55,91,133925,120454,13471
2025-08-25,Запланирована,коммерческая компания,коммерческая компания,Продукты питания,Омск,Волгоград,2600.48,Scania R-series,Фургон,20.0,,2025-08-04,,Незначительный,0,12.51,38.47,77,353718,250365,103352
2025-07-31,Доставлена,интернет-магазин,коммерческая компания,ТНП,Екатеринбург,Хабаровск,3811.43,Volvo FH,Фургон,5.0,2025-07-13,2025-07-22,2025-08-13,Нарушенный,9,4.97,12.57,70,505133,417618,87515
2025-08-14,В пути,коммерческая компания,коммерческая компания,Сырье,Уфа,Самара,2375.57,Scania R-series,Тент,10.0,2025-08-11,2025-08-26,,Незначительный,1,6.68,17.59,83,292608,218424,74184
2025-07-14,Доставлена,интернет-магазин,коммерческая компания,ТНП,Пермь,Москва,2104.69,MAN TGS,Цистерна,5.0,2025-07-09,2025-08-18,2025-08-26,Тревожный,4,3.29,11.5,50,213397,187167,26230
2025-08-26,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Красноярск,Хабаровск,825.27,ГАЗель Next,Цистерна,10.0,2025-07-13,2025-07-22,2025-07-22,Нарушенный,9,8.24,28.04,95,120718,73388,47331
2025-07-09,В пути,коммерческая компания,коммерческая компания,Продукты питания,Сочи,Уфа,2296.29,Scania R-series,Цистерна,25.0,2025-07-10,2025-08-09,,Тревожный,3,21.86,72.25,38,291029,194594,96434
2025-08-23,Доставлена,некоммерческая организация,коммерческая компания,Продукты питания,Екатеринбург,Пермь,2118.21,КАМАЗ 5490,Фургон,20.0,2025-07-09,2025-07-22,2025-07-28,Незначительный,1,13.62,40.8,98,257626,216692,40934
2025-07-13,Доставлена,интернет-магазин,коммерческая компания,ТНП,Москва,Омск,841.84,Volvo FH,Тент,20.0,2025-07-24,2025-08-20,2025-08-28,Незначительный,2,12.04,34.91,16,117348,92161,25187
2025-07-19,В пути,коммерческая компания,коммерческая компания,Продукты питания,Екатеринбург,Пермь,3563.18,ГАЗель Next,Рефрижератор,5.0,2025-08-17,2025-08-27,,Незначительный,1,3.18,10.93,87,424545,352950,71595
2025-08-02,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Новосибирск,Хабаровск,3926.16,MAN TGS,Фургон,20.0,2025-08-02,2025-08-15,2025-08-23,Незначительный,1,12.88,41.89,10,462811,398124,64687
2025-07-19,Запланирована,интернет-магазин,коммерческая компания,ТНП,Омск,Калининград,3702.55,Scania R-series,Фургон,5.0,,2025-08-19,,Незначительный,0,4.82,12.47,57,502593,353012,149582
2025-08-28,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Екатеринбург,Владивосток,4146.44,ГАЗель Next,Тент,5.0,2025-07-14,2025-08-06,2025-08-09,Незначительный,2,4.01,11.99,90,450757,278783,171974
2025-08-29,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Самара,Воронеж,4181.14,ГАЗель Next,Рефрижератор,25.0,2025-07-24,2025-08-01,2025-08-08,Нарушенный,8,18.25,58.44,22,534654,407466,127188
2025-07-06,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Нижний Новгород,Петрозаводск,4176.48,ГАЗель Next,Цистерна,5.0,2025-07-05,2025-07-13,2025-07-27,Нарушенный,8,4.16,13.72,44,450327,374165,76162
2025-08-17,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Омск,Мурманск,3880.79,Volvo FH,Тент,5.0,2025-07-17,2025-07-24,2025-08-10,Нарушенный,7,2.58,7.39,32,530630,467276,63354
2025-08-23,Доставлена,коммерческая компания,некоммерческая организация,Стройматериалы,Новосибирск,Калининград,1058.11,ГАЗель Next,Цистерна,25.0,2025-07-04,2025-07-28,2025-07-30,Незначительный,2,12.56,32.0,10,147674,97249,50425
2025-08-18,Доставлена,индивидуальный предприниматель,коммерческая компания,Сырье,Мурманск,Санкт-Петербург,2522.01,Scania R-series,Тент,5.0,2025-07-08,2025-08-12,2025-08-13,Тревожный,3,2.69,8.65,47,359209,287094,72115
2025-08-10,Доставлена,коммерческая компания,коммерческая компания,Сырье,Хабаровск,Уфа,4001.39,MAN TGS,Бортовой,20.0,2025-07-15,2025-07-19,2025-07-21,Тревожный,4,14.65,37.68,75,572104,434243,137861
2025-07-04,Отменена,коммерческая компания,индивидуальный предприниматель,Сырье,Екатеринбург,Челябинск,3579.6,ГАЗель Next,Цистерна,20.0,,,,Незначительный,0,15.28,39.53,49,435584,295734,139850
2025-08-24,Запланирована,коммерческая компания,коммерческая компания,Продукты питания,Сочи,Петрозаводск,975.9,ГАЗель Next,Рефрижератор,5.0,,2025-08-09,,Незначительный,0,4.63,15.5,75,130564,114308,16255
2025-07-15,Запланирована,интернет-магазин,коммерческая компания,ТНП,Хабаровск,Екатеринбург,3728.34,ГАЗель Next,Рефрижератор,25.0,,2025-08-14,,Незначительный,0,15.52,51.31,94,492597,350522,142075
2025-08-10,Запланирована,интернет-магазин,коммерческая компания,ТНП,Москва,Казань,1637.61,Scania R-series,Тент,25.0,,2025-08-16,,Незначительный,0,16.13,52.65,54,217022,154700,62323
2025-08-20,Отменена,интернет-магазин,коммерческая компания,ТНП,Омск,Сочи,1436.77,MAN TGS,Рефрижератор,10.0,,,,Незначительный,0,7.64,24.75,55,181100,159885,21215
2025-07-28,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Сочи,Волгоград,3158.08,MAN TGS,Цистерна,25.0,2025-08-19,2025-08-29,2025-08-30,Незначительный,1,17.9,49.46,95,395706,287773,107933
2025-07-23,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Сочи,Уфа,2975.78,MAN TGS,Тент,20.0,2025-07-31,2025-08-08,,Нарушенный,8,12.51,40.39,100,441540,344113,97426
2025-08-20,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Волгоград,Красноярск,1998.59,ГАЗель Next,Цистерна,20.0,2025-07-06,2025-08-02,,Незначительный,2,11.27,36.75,40,265998,229921,36077
2025-07-21,Запланирована,коммерческая компания,некоммерческая организация,Опасный груз,Хабаровск,Уфа,2249.8,Volvo FH,Цистерна,20.0,,2025-08-26,,Незначительный,0,12.27,38.02,31,290861,223973,66888
2025-08-14,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Санкт-Петербург,Красноярск,4203.44,Volvo FH,Цистерна,10.0,2025-07-07,2025-07-08,2025-08-16,Незначительный,1,5.47,14.93,43,512788,374702,138086
2025-08-01,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Красноярск,Челябинск,3015.82,ГАЗель Next,Рефрижератор,20.0,2025-07-07,2025-07-19,2025-08-01,Незначительный,1,17.78,46.3,77,350565,267481,83084
2025-07-10,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Петрозаводск,Мурманск,2009.84,КАМАЗ 5490,Рефрижератор,25.0,2025-07-14,2025-07-26,2025-08-04,Незначительный,1,13.3,39.13,65,254888,224187,30701
2025-08-11,Запланирована,коммерческая компания,коммерческая компания,Оборудование,Сочи,Ростов-на-Дону,4506.42,Volvo FH,Тент,25.0,,2025-08-29,,Незначительный,0,18.67,59.8,66,561961,376896,185065
2025-07-01,Запланирована,коммерческая компания,коммерческая компания,Стройматериалы,Петрозаводск,Екатеринбург,1092.53,MAN TGS,Бортовой,25.0,,2025-08-13,,Незначительный,0,20.29,53.88,26,132166,93281,38885
2025-07-14,В пути,коммерческая компания,коммерческая компания,Продукты питания,Хабаровск,Воронеж,1082.72,КАМАЗ 5490,Рефрижератор,20.0,2025-07-31,2025-08-29,,Незначительный,2,17.24,52.66,28,140684,114261,26424
2025-08-19,Запланирована,коммерческая компания,коммерческая компания,Опасный груз,Самара,Казань,1343.77,КАМАЗ 5490,Тент,20.0,,2025-08-29,,Незначительный,0,12.24,36.38,99,161202,104945,56256
2025-07-10,Запланирована,коммерческая компания,коммерческая компания,Сырье,Волгоград,Нижний Новгород,4773.18,ГАЗель Next,Цистерна,20.0,,2025-08-22,,Незначительный,0,10.76,28.7,69,661484,414403,247081
